ID_UG;nodes
961;(-12466.50368, 150966.41501),(-12205.87018, 150991.84471),(-11759.78868, 150761.46821),(-12417.27058, 150801.19761),(-12204.39288, 150703.88121),(-12415.94768, 150663.74621),(-12002.26018, 150943.30671),(-12389.41758, 151015.72411),(-12431.95498, 150877.72851),(-12373.66408, 151017.43164),(-12403.7768, 150994.82511),(-12171.05377, 150701.34029),(-12140.67703, 150814.53752)
962;(-12466.50368, 150966.41501),(-12678.37418, 150862.01841),(-12730.80248, 150707.27031),(-12417.27058, 150801.19761),(-12574.02218, 150958.16571),(-12903.30308, 150870.32291),(-12860.44848, 150900.41651),(-12431.95498, 150877.72851),(-12882.46876, 150884.9533),(-12870.04963, 150893.67433),(-12656.49978, 150832.72151)
958;(-12205.87018, 150991.84471),(-12235.41058, 151393.94421),(-12132.37048, 151130.06391),(-12389.41758, 151015.72411),(-12265.6432, 151204.889),(-12283.55411, 151181.29542)
959;(-12205.87018, 150991.84471),(-11649.83348, 150970.92061),(-12151.24888, 151427.87381),(-12002.26018, 150943.30671),(-12132.37048, 151130.06391),(-11842.35598, 151491.59381),(-11882.14024, 151185.28417)
1506;(-12235.41058, 151393.94421),(-12151.24888, 151427.87381),(-12132.37048, 151130.06391),(-12228.50428, 151451.98441),(-12211.4194, 151445.35873),(-12186.51972, 151293.46817)
960;(-11759.78868, 150761.46821),(-11649.83348, 150970.92061),(-12002.26018, 150943.30671),(-11804.99905, 150932.69564)
1354;(-12730.80248, 150707.27031),(-12417.27058, 150801.19761),(-12415.94768, 150663.74621),(-12664.03048, 150521.83051),(-12567.75859, 150668.47886)
964;(-12204.39288, 150703.88121),(-12415.94768, 150663.74621),(-12664.03048, 150521.83051),(-12482.69789, 150476.59119)
898;(-12625.45558, 151609.13171),(-12474.48408, 151945.81471),(-12317.58768, 151878.22601),(-12511.10233, 151748.3868),(-12541.87401, 151825.05928)
1250;(-12625.45558, 151609.13171),(-12151.24888, 151427.87381),(-12317.58768, 151878.22601),(-11842.35598, 151491.59381),(-12228.50428, 151451.98441),(-12238.04178, 151739.23513),(-12413.74595, 151544.40968),(-12263.05973, 151571.03533)
