x,y,ID_UG
-10655.17557,147943.26206,1041
-10067.24305,148028.80374,812
-9516.84491,148293.55623,1051
-10629.23877,148284.67724,1038
-10319.77073,148410.47877,865
-10715.51166,148570.73657,1036
-9724.1433,148608.97065,1049
-10082.58048,148642.27232,1210
-10787.56976,148770.65187,1033
-9788.53268,148838.6824,1376
-10343.70484,148954.31332,1032
-9899.26926,148998.0663,1211
-10580.86941,149071.25589,1031
-11411.83393,148317.58668,866
-11219.19702,148568.94444,1037
-11636.22656,148837.51602,1035
-11155.71115,148986.00589,1034
-11436.86135,148952.505,1198
-9474.63395,149158.3651,1043
-9633.71633,149510.33412,1296
-10133.71549,149147.44965,1377
-9758.54318,149210.79965,1295
-10149.97515,149373.88976,1262
-10311.60363,149567.71383,1272
-10757.8104,149589.30114,1378
-9814.72541,149707.54588,1273
-10465.0175,149748.70067,975
-10647.74568,149848.54741,976
-10030.8537,149930.39017,1208
-9659.64489,149999.23651,1274
-9195.31222,149600.1961,807
-10863.48728,150048.96257,1278
-10123.71377,150155.0526,1277
-10624.90433,150233.62028,1207
-9757.85286,150315.83682,1546
-10027.86364,150363.3928,1276
